                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.1613,                 0.8692,                 1.2427,                 1.2368,                 1.1585,                 1.2283,                0.71449,                    0.6,                0.72867,                 0.4444,                 1.5532,                 1.2246,                 1.7319,                 1.5139,                  1.809,                 1.6782,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.2112,                0.84651,                 1.2529,                 1.2276,                 1.1644,                 1.2152,                0.75605,                0.73662,                0.79923,                0.46372,                 1.5668,                 1.1185,                  1.809,                 1.5375,                 1.7245,                 1.7458,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.1659,                0.78025,                 1.2471,                 1.1929,                 1.0925,                 1.2153,                0.60945,                0.71149,                0.70679,                0.42637,                 1.4614,                 1.5071,                 1.6678,                 1.3803,                 2.1615,                 1.5859,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.0818,                0.81154,                 1.2049,                 1.1573,                 1.1259,                 1.2078,                 0.6898,                  0.675,                  0.687,                0.42135,                 1.4467,                 1.4675,                 1.6266,                 1.4305,                   2.03,                 1.6184,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.1667,                0.76343,                 1.2455,                 1.2084,                 1.1137,                 1.2105,                0.68666,                  0.675,                0.72652,                0.45276,                 1.4684,                 1.5649,                 1.6553,                 1.4436,                 1.9863,                 1.6686,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.1272,                 0.7185,                 1.2235,                  1.191,                0.96826,                 1.1909,                0.62794,                0.68512,                0.68464,                 0.4215,                 1.4574,                 1.5604,                 1.6452,                 1.4223,                 2.0438,                 1.6367,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.0423,                0.71476,                 1.1805,                 1.0891,                 1.0076,                 1.1793,                0.78794,                    0.9,                0.91784,                0.55312,                 1.4769,                0.78202,                 1.6474,                 1.4616,                 1.2364,                 1.6881,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.0632,                0.74965,                 1.1941,                 1.1315,                 1.0273,                 1.1844,                0.87179,                  0.825,                0.88473,                0.53397,                 1.4205,                0.88055,                 1.6199,                 1.4101,                 1.3694,                 1.6115,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.0911,                0.73198,                 1.1836,                 1.1506,                 1.0232,                 1.1861,                0.66603,                0.59362,                0.62206,                0.39683,                 1.3768,                 1.6771,                 1.5333,                 1.3623,                 2.1828,                 1.5766,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.0673,                0.73678,                 1.1909,                 1.1541,                 1.0052,                 1.1743,                0.65862,                  0.675,                0.73071,                0.44329,                 1.4349,                 1.3967,                 1.5909,                 1.3917,                 1.8904,                 1.6016,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.0937,                0.74024,                 1.2078,                 1.1764,                0.99419,                 1.1999,                0.82059,                   0.75,                0.86029,                0.52549,                 1.4897,                0.92063,                 1.6338,                 1.4499,                  1.365,                 1.5889,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.0454,                0.75362,                 1.1642,                   1.08,                 1.0042,                 1.1389,                 0.8998,                0.73524,                0.91795,                0.52195,                 1.5326,                0.98654,                 1.6853,                 1.5282,                 1.3758,                 1.6871,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.0413,                0.69896,                  1.152,                 1.0809,                0.90372,                 1.1305,                0.77968,                  0.775,                0.91453,                 0.5148,                 1.5293,                  1.055,                 1.6986,                 1.4914,                 1.4237,                 1.6776,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.0363,                0.74601,                 1.1838,                 1.1078,                0.99223,                 1.1649,                 0.8989,                0.82998,                0.94042,                 0.5748,                 1.4232,                0.78633,                 1.5914,                 1.3935,                 1.1302,                 1.5926,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.0528,                0.72995,                 1.1769,                 1.1034,                 1.0133,                 1.1786,                0.87918,                    0.8,                0.90597,                0.55828,                 1.4156,                0.81514,                  1.611,                 1.3978,                 1.2142,                 1.6143,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.0835,                0.70253,                   1.19,                 1.1371,                0.99616,                 1.1659,                 0.8597,                0.86502,                0.93792,                0.59044,                 1.3919,                0.77298,                 1.6038,                 1.4114,                 1.1187,                 1.6316,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.0141,                0.66434,                 1.1354,                 1.0928,                0.84853,                 1.1266,                0.92547,                  0.975,                0.97968,                0.59301,                 1.4455,                0.68453,                 1.6477,                 1.4379,                 1.0093,                 1.6644,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.0191,                0.68373,                 1.1654,                 1.0641,                0.93299,                 1.1614,                0.97175,                   0.95,                0.99049,                0.59087,                 1.4836,                0.66678,                 1.6844,                 1.4536,                0.97984,                 1.6629,             0.00039625,             0.00039625,             0.00039625
                     80,                0.97128,                0.65395,                 1.1422,                 1.0188,                0.90997,                 1.1364,                      1,                0.96359,                0.99381,                0.62969,                 1.3432,                0.61626,                 1.5681,                 1.3485,                0.88971,                 1.5679,             0.00037974,             0.00037974,             0.00037974
                     81,                0.97578,                0.66407,                 1.1391,                 1.0386,                0.92191,                 1.1401,                0.99573,                   0.95,                0.98856,                0.64179,                 1.3398,                0.61961,                 1.5668,                 1.3257,                0.91112,                 1.5597,             0.00036324,             0.00036324,             0.00036324
                     82,                0.98435,                0.63946,                  1.115,                 1.0155,                0.86251,                 1.0808,                0.99509,                0.89834,                0.97887,                0.63421,                 1.2953,                0.61147,                  1.543,                 1.3185,                0.93557,                 1.5418,             0.00034674,             0.00034674,             0.00034674
                     83,                0.96122,                0.66984,                 1.1429,                0.97571,                0.95952,                 1.1251,                0.88917,                0.89995,                0.95735,                0.58842,                  1.338,                0.69811,                 1.5449,                 1.4098,                 1.0397,                  1.583,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.0047,                0.65096,                   1.14,                 1.0207,                 0.9222,                 1.1217,                0.85511,                0.81191,                0.87055,                0.53939,                 1.3264,                0.91702,                 1.5567,                 1.3829,                 1.3328,                 1.5756,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.0463,                 0.6918,                 1.1882,                 1.1189,                0.96377,                 1.1703,                0.83255,                0.84491,                0.86133,                0.52238,                 1.3613,                  1.024,                 1.5819,                 1.3946,                 1.4352,                 1.5851,             0.00029723,             0.00029723,             0.00029723
                     86,                0.93811,                0.60803,                 1.1102,                 1.0054,                 0.8098,                  1.106,                0.84747,                0.83702,                0.85902,                0.54046,                 1.3717,                 1.0123,                  1.564,                 1.3882,                 1.4177,                 1.5771,             0.00028072,             0.00028072,             0.00028072
                     87,                0.94197,                0.61773,                 1.1193,                0.99035,                0.82524,                 1.1069,                0.83281,                   0.85,                0.87051,                0.54072,                 1.3932,                0.92343,                 1.5762,                  1.384,                 1.3654,                 1.5721,             0.00026422,             0.00026422,             0.00026422
                     88,                0.92531,                0.59245,                  1.093,                0.97071,                0.81417,                   1.09,                0.89789,                    0.9,                0.92788,                0.55135,                 1.4452,                0.76868,                 1.6094,                 1.4661,                 1.1497,                 1.6624,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.0004,                0.66338,                 1.1405,                  1.056,                0.90182,                 1.1324,                0.95429,                0.86401,                0.94379,                 0.5611,                 1.4682,                0.74239,                 1.6352,                 1.4929,                  1.099,                 1.6831,             0.00023121,             0.00023121,             0.00023121
